serial,Heading,Subheading,difficulty,problem,link,notes
377,Dynamic Programming,DP on Stocks,Medium,Best time to buy and sell stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description/,
378,Dynamic Programming,DP on Stocks,Medium,Best time to buy and sell stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,
379,Dynamic Programming,DP on Stocks,Medium,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,
380,Dynamic Programming,DP on Stocks,Medium,Best time to buy and sell stock with transaction fees,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,
381,Dynamic Programming,DP on LIS,Medium,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,LC 300 — exact match
382,Dynamic Programming,DP on LIS,Medium,Print Longest Increasing Subsequence,https://takeuforward.org/data-structure/printing-longest-increasing-subsequence-dp-42/,Printing Longest Increasing Subsequence' (search GFG) — print version; LC 300 only returns the length
383,Dynamic Programming,DP on LIS,Medium,Longest Increasing Subsequence |(DP-43),https://leetcode.com/problems/longest-increasing-subsequence/,LC 300 — exact match (same problem revisited with a different technique here)
384,Dynamic Programming,DP on LIS,Medium,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/,
385,Dynamic Programming,DP on LIS,Medium,Longest String Chain,https://leetcode.com/problems/longest-string-chain/,
386,Dynamic Programming,DP on LIS,Medium,Longest Bitonic Subsequence,https://takeuforward.org/data-structure/longest-bitonic-subsequence-dp-46/,Longest Bitonic Subsequence' (search GFG) — no standalone LC problem
387,Dynamic Programming,DP on LIS,Medium,Number of Longest Increasing Subsequences,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,
388,Dynamic Programming,MCM DP | Partition DP,Hard,Matrix chain multiplication,https://takeuforward.org/dynamic-programming/matrix-chain-multiplication-dp-48/,Matrix Chain Multiplication' (search GFG) — same interval-DP family as LC 312 Burst Balloons (already in your sheet)
389,Dynamic Programming,MCM DP | Partition DP,Hard,Matrix Chain Multiplication | Bottom-Up|(DP-49),https://takeuforward.org/data-structure/matrix-chain-multiplication-tabulation-method-dp-49/,Matrix Chain Multiplication (Bottom-Up)' (search GFG) — same problem as above
390,Dynamic Programming,MCM DP | Partition DP,Hard,Minimum cost to cut the stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,
391,Dynamic Programming,MCM DP | Partition DP,Hard,Burst balloons,https://leetcode.com/problems/burst-balloons/,
392,Dynamic Programming,MCM DP | Partition DP,Medium,Different Ways to Evaluate a Boolean Expression,https://leetcode.com/problems/parsing-a-boolean-expression/,
393,Dynamic Programming,MCM DP | Partition DP,Hard,Palindrome partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,
394,Dynamic Programming,MCM DP | Partition DP,Medium,Partition Array for Maximum Sum,https://leetcode.com/problems/partition-array-for-maximum-sum/,
395,Dynamic Programming,DP on Squares,Hard,Maximum Rectangle Area with all 1's|(DP-55),https://leetcode.com/problems/maximal-rectangle/,
396,Dynamic Programming,DP on Squares,Easy,Count Square Submatrices with All Ones|(DP-56),https://leetcode.com/problems/count-square-submatrices-with-all-ones/,
397,Tries,Theory,Hard,Trie Implementation and Operations,https://leetcode.com/problems/implement-trie-prefix-tree/,
398,Tries,Problems,Hard,Trie Implementation and Advanced Operations,https://leetcode.com/problems/implement-trie-prefix-tree/,Extension of LC 208 Implement Trie (already in your sheet)
399,Tries,Problems,Medium,Longest Word with All Prefixes,https://leetcode.com/problems/longest-word-in-dictionary/,LC 720 (Longest Word in Dictionary) — exact match
400,Tries,Problems,Medium,Number of distinct substrings in a string,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string/,LC 1698 — exact match (premium)
401,Tries,Problems,Easy,Bit PreRequisites for TRIE Problems,,Concept/theory video — no coding problem
402,Tries,Problems,Hard,Maximum XOR of two numbers in an array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,
403,Tries,Problems,Hard,Maximum Xor with an element from an array,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/,
404,Strings,Hard Problems,Hard,Minimum number of bracket reversals to make an expression balanced,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,
405,Strings,Hard Problems,Hard,Count and say,https://leetcode.com/problems/count-and-say/,
406,Strings,Hard Problems,Easy,Hashing In Strings | Theory,https://takeuforward.org/data-structure/hashing-in-strings,Concept/theory video — no coding problem
407,Strings,Hard Problems,Hard,Rabin Karp Algorithm,https://leetcode.com/problems/repeated-string-match/discuss/416144/Rabin-Karp-algorithm-C%2B%2B-implementation,
408,Strings,Hard Problems,Hard,Z function,,"Z algorithm (Linear time pattern searching Algorithm)' (search GFG) — algorithm itself, not a standalone problem"
409,Strings,Hard Problems,Hard,KMP Algorithm or LPS array,https://leetcode.com/problems/implement-strstr/,
410,Strings,Hard Problems,Hard,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/,LC 214 — exact match
411,Strings,Hard Problems,Hard,Longest happy prefix,https://leetcode.com/problems/longest-happy-prefix/,
412,Strings,Hard Problems,Medium,Count Palindromic Subsequences,https://leetcode.com/problems/count-palindromic-subsequences/,
